noise_rate,MLE_mu,MLE_kappa,W1(method2)_mu,W1(method2)_kappa,W2(method3)_mu,W2(method3)_kappa
0.0,-5.662972242214995,-3.3701057653467013,-5.662354198392636,-3.6275271052321587,-5.650647915658101,-3.658217053384877
0.02,-5.600584365692338,-0.3635498679831711,-5.539928291878891,-1.2068421279041766,-5.524482412399587,-0.031397070189086176
0.04,-5.588055183973552,0.11821362499255879,-5.510818967471596,-0.629736044483212,-5.4405130615036805,0.36740415242536717
0.06,-5.583328750540569,0.366666241286582,-5.50135251455062,-0.28459932863679677,-5.39812362200747,0.5629072997183353
0.08,-5.5385836079733615,0.5244596465761027,-5.458842357453608,-0.03662432082970166,-5.297876362541124,0.6827651020327259
0.1,-5.490507309019817,0.6349260791960898,-5.424195697652809,0.15365989882743775,-5.264690189380888,0.7657637781524038
0.12,-5.4476080599459085,0.7189784956864549,-5.371031175936027,0.31117947958031456,-5.213822307666353,0.8284827521003884
0.14,-5.437830554354466,0.7854487828184865,-5.385191453204048,0.4450013394589716,-5.183989227691999,0.8785792352949064
0.16,-5.383508529747152,0.8388453190213777,-5.322481152492195,0.5583713907920478,-5.1432623472022465,0.9188374538157079
0.18,-5.363389266103219,0.8838772334063452,-5.298116991681158,0.6578507631507596,-5.072880442935182,0.9534237034503364
0.2,-5.294538656264155,0.92253850282606,-5.241914182797385,0.74388344136712,-5.0438231526230854,0.9831700824725557
