rho,MLE_mu / CR_mu,MLE_rho / CR_rho,W1(method2)_mu / MLE_mu,W1(method2)_rho / MLE_rho,W2(method3)_mu / MLE_mu,W2(method3)_rho / MLE_rho
0.05,0.9715555999333041,1.038554979778852,1.0258962671576146,1.0122121769590149,1.0025990023543736,1.0009133969732638
0.15,1.0037983715219043,0.9623277831343027,1.0298791549194752,1.0256322583357411,1.0385591241709864,1.0353833655471978
0.25,1.0245482024516945,1.0419870109767446,1.0434149021175074,1.0136805501533916,1.065821208079182,1.0415119635119454
0.35,1.0081387916619178,1.0355504322554296,1.0563754655943247,1.0886055788956561,1.1403187802647012,1.1681829469239298
0.45,1.0157447377898823,1.019441444649495,1.1038003364103626,1.1270535241290907,1.2392693464126958,1.2563104869232402
0.55,0.9785034829048826,1.0354721912575966,1.1797483783881568,1.1233373027783131,1.4525051251505787,1.3891539038774905
0.65,0.973393177905023,0.9400889537519089,1.2306328895450132,1.3084847747151076,1.7521045434849607,1.8520793809814977
0.75,1.0131907739801933,0.9675076510009126,1.2784730837174676,1.3865077388939524,2.202878317613012,2.358771682382536
0.85,1.0343664443028564,0.9834896328420024,1.5224642737740677,1.7297084332247927,3.6486890859727463,3.833695539940353
0.95,1.043688815013026,0.968874373032514,1.5503739664122504,2.271063440485536,10.181322113821741,9.867057542067414
